chr	start	end	name	gieStain
chr6	85423295	88508804	q14.3	gpos50
chr6	88508805	93711666	q15	gneg
chr6	93711667	100074369	q16.1	gpos100
chr6	100074370	101173694	q16.2	gneg
chr6	101173695	106176013	q16.3	gpos100
chr6	106176014	115383115	q21	gneg
chr6	115383116	119084265	q22.1	gpos75
chr6	119084266	119285071	q22.2	gneg
chr6	119285072	126988674	q22.31	gpos100
chr6	126988675	127988742	q22.32	gneg
chr6	127988743	131194763	q22.33	gpos75
chr6	131194764	132095087	q23.1	gneg
chr6	132095088	135888233	q23.2	gpos50
chr6	135888234	139488489	q23.3	gneg
chr6	139488490	143392072	q24.1	gpos75
chr6	143392073	146292619	q24.2	gneg
chr6	146292620	149696304	q24.3	gpos75
chr6	149696305	153301308	q25.1	gneg
chr6	153301309	156401943	q25.2	gpos50
chr6	156401944	161852984	q25.3	gneg
chr6	161852985	165464819	q26	gpos50
chr6	165464820	172126628	q27	gneg
chr7	1	2913569	p22.3	gneg
chr7	2913570	4616674	p22.2	gpos25
chr7	4616675	7319206	p22.1	gneg
chr7	7319207	13832042	p21.3	gpos100
chr7	13832043	16629717	p21.2	gneg
chr7	16629718	21036083	p21.1	gpos100
chr7	21036084	25635438	p15.3	gneg
chr7	25635439	28037762	p15.2	gpos50
chr7	28037763	28937489	p15.1	gneg
chr7	28937490	35040677	p14.3	gpos75
chr7	35040678	37240409	p14.2	gneg
chr7	37240410	43458167	p14.1	gpos75
chr7	43458168	45560768	p13	gneg
chr7	45560769	49160858	p12.3	gpos75
chr7	49160859	50661224	p12.2	gneg
chr7	50661225	54061627	p12.1	gpos75
chr7	54061628	60414372	p11.2	gneg
chr7	60414373	62064435	p11.1	acen
chr7	62064436	63714499	q11.1	acen
chr7	63714500	68720114	q11.21	gneg
chr7	68720115	73918537	q11.22	gpos50
chr7	73918538	79151921	q11.23	gneg
chr7	79151922	87949894	q21.11	gpos100
chr7	87949895	89750628	q21.12	gneg
chr7	89750629	92747879	q21.13	gpos75
chr7	92747880	94542054	q21.2	gneg
chr7	94542055	99630796	q21.3	gpos75
chr7	99630797	105514255	q22.1	gneg
chr7	105514256	106214835	q22.2	gpos50
chr7	106214836	109118351	q22.3	gneg
chr7	109118352	116314793	q31.1	gpos75
chr7	116314794	119015389	q31.2	gneg
chr7	119015390	122715324	q31.31	gpos75
chr7	122715325	125416714	q31.32	gneg
chr7	125416715	128811644	q31.33	gpos75
chr7	128811645	130913119	q32.1	gneg
chr7	130913120	132117533	q32.2	gpos25
chr7	132117534	134221510	q32.3	gneg
chr7	134221511	139809728	q33	gpos50
chr7	139809729	144755427	q34	gneg
chr7	144755428	149379963	q35	gpos75
chr7	149379964	153973252	q36.1	gneg
chr7	153973253	156375514	q36.2	gpos25
chr7	156375515	160567428	q36.3	gneg
chr8	1	2084125	p23.3	gneg
chr8	2084126	6054502	p23.2	gpos75
chr8	6054503	13066163	p23.1	gneg
chr8	13066164	19465021	p22	gpos100
chr8	19465022	23774881	p21.3	gneg
chr8	23774882	27777347	p21.2	gpos50
chr8	27777348	29278158	p21.1	gneg
chr8	29278159	36976053	p12	gpos75
chr8	36976054	38776976	p11.23	gneg
chr8	38776977	40177151	p11.22	gpos25
chr8	40177152	44215832	p11.21	gneg
chr8	44215833	45270456	p11.1	acen
chr8	45270457	46325080	q11.1	acen
chr8	46325081	51673061	q11.21	gneg
chr8	51673062	52073547	q11.22	gpos75
chr8	52073548	54977464	q11.23	gneg
chr8	54977465	61023743	q12.1	gpos50
chr8	61023744	61723740	q12.2	gneg
chr8	61723741	65525777	q12.3	gpos50
chr8	65525778	67526469	q13.1	gneg
chr8	67526470	70029827	q13.2	gpos50
chr8	70029828	72435109	q13.3	gneg
chr8	72435110	75029437	q21.11	gpos100
chr8	75029438	75129430	q21.12	gneg
chr8	75129431	83931590	q21.13	gpos75
chr8	83931591	87017433	q21.2	gneg
chr8	87017434	93425090	q21.3	gpos100
chr8	93425091	99025482	q22.1	gneg
chr8	99025483	101626041	q22.2	gpos25
chr8	101626042	106227505	q22.3	gneg
chr8	106227506	110628554	q23.1	gpos75
chr8	110628555	112228628	q23.2	gneg
chr8	112228629	117826624	q23.3	gpos100
chr8	117826625	119428452	q24.11	gneg
chr8	119428453	122630227	q24.12	gpos50
chr8	122630228	127427152	q24.13	gneg
chr8	127427153	131526643	q24.21	gpos50
chr8	131526644	136517853	q24.22	gneg
chr8	136517854	140019529	q24.23	gpos75
chr8	140019530	146259331	q24.3	gneg
chr9	1	2202472	p24.3	gneg
chr9	2202473	4603652	p24.2	gpos25
chr9	4603653	9006617	p24.1	gneg
chr9	9006618	14209493	p23	gpos75
chr9	14209494	16611825	p22.3	gneg
chr9	16611826	18513245	p22.2	gpos25
chr9	18513246	19913875	p22.1	gneg
chr9	19913876	25610359	p21.3	gpos100
chr9	25610360	28010599	p21.2	gneg
chr9	28010600	33218700	p21.1	gpos100
chr9	33218701	36322011	p13.3	gneg
chr9	36322012	37923910	p13.2	gpos25
chr9	37923911	39013701	p13.1	gneg
chr9	39013702	40014198	p12	gpos50
chr9	40014199	44951775	p11.2	gneg
chr9	44951776	46267185	p11.1	acen
chr9	46267186	47582595	q11	acen
chr9	47582596	76694047	q12	gvar
chr9	76694048	77166639	q13	gneg
chr9	77166640	81466639	q21.11	gpos25
chr9	81466640	83449676	q21.12	gneg
chr9	83449677	88756405	q21.13	gpos50
chr9	88756406	90657183	q21.2	gneg
chr9	90657184	93652149	q21.31	gpos50
chr9	93652150	96450330	q21.32	gneg
chr9	96450331	99953385	q21.33	gpos50
chr9	99953386	101362780	q22.1	gneg
chr9	101362781	103366144	q22.2	gpos25
chr9	103366145	106067989	q22.31	gneg
chr9	106067990	108671778	q22.32	gpos25
chr9	108671779	111971620	q22.33	gneg
chr9	111971621	117574632	q31.1	gpos100
chr9	117574633	120669232	q31.2	gneg
chr9	120669233	124271384	q31.3	gpos25
chr9	124271385	127092454	q32	gneg
chr9	127092455	131993831	q33.1	gpos75
chr9	131993832	135297230	q33.2	gneg
chr9	135297231	139706950	q33.3	gpos25
chr9	139706951	142804928	q34.11	gneg
chr9	142804929	143308266	q34.12	gpos25
chr9	143308267	145314130	q34.13	gneg
chr9	145314131	146716800	q34.2	gpos25
chr9	146716801	150617247	q34.3	gneg
chrX	1	3944795	p22.33	gneg
chrX	3944796	5652276	p22.32	gpos50
chrX	5652277	9182594	p22.31	gneg
chrX	9182595	16982597	p22.2	gpos50
chrX	16982598	18782737	p22.13	gneg
chrX	18782738	21483312	p22.12	gpos50
chrX	21483313	24484237	p22.11	gneg
chrX	24484238	28892068	p21.3	gpos100
chrX	28892069	31098156	p21.2	gneg
chrX	31098157	37203573	p21.1	gpos100
chrX	37203574	41906024	p11.4	gneg
chrX	41906025	47009888	p11.3	gpos75
chrX	47009889	49417662	p11.23	gneg
chrX	49417663	54090881	p11.22	gpos25
chrX	54090882	57820107	p11.21	gneg
chrX	57820108	59373565	p11.1	acen
chrX	59373566	60927025	q11.1	acen
chrX	60927026	63825591	q11.2	gneg
chrX	63825592	66933457	q12	gpos50
chrX	66933458	71433508	q13.1	gneg
chrX	71433509	73133628	q13.2	gpos50
chrX	73133629	75233853	q13.3	gneg
chrX	75233854	83828518	q21.1	gpos100
chrX	83828519	85427981	q21.2	gneg
chrX	85427982	91150234	q21.31	gpos100
chrX	91150235	92745170	q21.32	gneg
chrX	92745171	97541699	q21.33	gpos75
chrX	97541700	101746979	q22.1	gneg
chrX	101746980	102931146	q22.2	gpos50
chrX	102931147	107847498	q22.3	gneg
chrX	107847499	115776569	q23	gpos75
chrX	115776570	120099927	q24	gneg
chrX	120099928	127818782	q25	gpos100
chrX	127818783	129624103	q26.1	gneg
chrX	129624104	132825159	q26.2	gpos25
chrX	132825160	137210433	q26.3	gneg
chrX	137210434	139517370	q27.1	gpos75
chrX	139517371	141308643	q27.2	gneg
chrX	141308644	146265526	q27.3	gpos100
chrX	146265527	154259566	q28	gneg
chrY	1	127375	p11.32	gneg
chrY	127376	454123	p11.31	gpos50
chrY	454124	10565750	p11.2	gneg
chrY	10565751	10724418	p11.1	acen
chrY	10724419	10883085	q11.1	acen
chrY	10883086	13307633	q11.21	gneg
chrY	13307634	18006518	q11.221	gpos50
chrY	18006519	20506564	q11.222	gneg
chrY	20506565	25062557	q11.223	gpos50
chrY	25062558	27449937	q11.23	gneg
chrY	27449938	62460029	q12	gvar
